job_title,company,location,salary,skills
ML Engineer,Amazon,Pune,30264,"Python, ML"
Data Analyst,Amazon,Mumbai,40699,"Python, SQL"
Business Analyst,Wipro,Bangalore,101582,"Excel, Tableau"
Data Analyst,Infosys,Pune,40796,"Python, SQL"
Business Analyst,Wipro,Pune,111414,"Excel, Tableau"
Business Analyst,Wipro,Hyderabad,82760,"Excel, Tableau"
Data Scientist,Amazon,Delhi,89187,"Excel, Tableau"
Business Analyst,Wipro,Hyderabad,138645,"Python, ML"
Data Analyst,Wipro,Delhi,42722,"Excel, Tableau"
Data Analyst,Amazon,Bangalore,32763,"Excel, Tableau"
ML Engineer,Infosys,Bangalore,30784,"Python, Excel"
Data Analyst,Amazon,Delhi,107241,"SQL, Power BI"
Data Analyst,TCS,Delhi,43081,"SQL, Power BI"
ML Engineer,Google,Bangalore,71938,"Excel, Tableau"
Data Scientist,Google,Delhi,72000,"Excel, Tableau"
Data Analyst,Infosys,Hyderabad,69540,"Python, ML"
Business Analyst,Infosys,Hyderabad,137856,"Python, ML"
Data Scientist,Amazon,Hyderabad,124459,"Excel, Tableau"
Business Analyst,Google,Mumbai,146653,"Python, Excel"
Business Analyst,TCS,Pune,42125,"Python, Excel"
Data Scientist,Amazon,Delhi,83751,"Python, ML"
Business Analyst,Wipro,Delhi,33701,"SQL, Power BI"
Business Analyst,Accenture,Bangalore,96206,"Excel, Tableau"
Data Scientist,Amazon,Pune,33011,"SQL, Power BI"
ML Engineer,Infosys,Pune,61406,"Excel, Tableau"
ML Engineer,Amazon,Mumbai,33601,"Python, ML"
Data Analyst,TCS,Bangalore,79415,"Python, SQL"
ML Engineer,TCS,Mumbai,144058,"SQL, Power BI"
ML Engineer,Wipro,Hyderabad,43775,"Python, ML"
ML Engineer,Wipro,Delhi,42463,"Excel, Tableau"
Data Analyst,Amazon,Hyderabad,141536,"Excel, Tableau"
Business Analyst,TCS,Hyderabad,46642,"Python, ML"
ML Engineer,Amazon,Bangalore,46460,"Python, SQL"
ML Engineer,Accenture,Delhi,66249,"Python, SQL"
Business Analyst,Amazon,Pune,127302,"Python, SQL"
Business Analyst,TCS,Pune,67573,"Python, SQL"
Data Scientist,Google,Pune,72847,"Python, SQL"
Data Analyst,Amazon,Mumbai,149584,"SQL, Power BI"
ML Engineer,TCS,Pune,105722,"Python, Excel"
ML Engineer,TCS,Delhi,66866,"Python, Excel"
Data Scientist,Accenture,Pune,130590,"Python, ML"
Data Scientist,Infosys,Mumbai,62213,"Python, Excel"
Data Scientist,Accenture,Bangalore,116125,"SQL, Power BI"
Business Analyst,Wipro,Mumbai,133014,"Python, Excel"
Data Analyst,Google,Bangalore,53137,"Python, SQL"
Business Analyst,Wipro,Hyderabad,111637,"Excel, Tableau"
Data Analyst,Accenture,Mumbai,107028,"SQL, Power BI"
Data Analyst,Google,Hyderabad,108856,"Excel, Tableau"
Data Analyst,Amazon,Mumbai,126732,"Excel, Tableau"
ML Engineer,Wipro,Pune,68671,"SQL, Power BI"
Business Analyst,Wipro,Pune,75049,"Python, ML"
Business Analyst,Accenture,Bangalore,87605,"Excel, Tableau"
Data Analyst,Google,Pune,136956,"Python, ML"
Data Analyst,Amazon,Mumbai,39497,"Python, ML"
Data Scientist,TCS,Mumbai,124435,"Python, Excel"
Data Analyst,Amazon,Mumbai,82971,"Excel, Tableau"
Data Scientist,Amazon,Mumbai,82231,"SQL, Power BI"
ML Engineer,Accenture,Bangalore,139593,"Excel, Tableau"
Data Analyst,Accenture,Bangalore,101730,"Excel, Tableau"
Data Analyst,Wipro,Pune,105103,"Python, ML"
Data Scientist,Wipro,Bangalore,78433,"Excel, Tableau"
Business Analyst,Wipro,Pune,67369,"Python, SQL"
Data Analyst,Amazon,Delhi,122627,"Excel, Tableau"
Data Analyst,Accenture,Pune,78402,"Excel, Tableau"
ML Engineer,TCS,Hyderabad,64281,"Python, SQL"
Business Analyst,Google,Bangalore,49365,"SQL, Power BI"
ML Engineer,Amazon,Mumbai,79895,"Python, ML"
Data Scientist,Infosys,Bangalore,96788,"Python, ML"
Data Analyst,Infosys,Bangalore,83459,"Excel, Tableau"
ML Engineer,Amazon,Hyderabad,69057,"Python, SQL"
Business Analyst,Google,Delhi,57150,"SQL, Power BI"
ML Engineer,Accenture,Delhi,126868,"SQL, Power BI"
Data Analyst,Accenture,Mumbai,95266,"Python, ML"
ML Engineer,Amazon,Hyderabad,113908,"Python, ML"
Business Analyst,Accenture,Delhi,94144,"Python, ML"
ML Engineer,Google,Mumbai,31483,"Python, ML"
Data Scientist,Accenture,Hyderabad,45698,"Python, ML"
Data Analyst,Amazon,Pune,79755,"Python, Excel"
Data Scientist,Amazon,Mumbai,145871,"Python, Excel"
ML Engineer,Google,Hyderabad,109501,"Python, ML"
Data Scientist,Accenture,Mumbai,139227,"Excel, Tableau"
Data Analyst,TCS,Bangalore,101978,"Python, Excel"
Data Scientist,TCS,Mumbai,105402,"SQL, Power BI"
Business Analyst,Infosys,Mumbai,42232,"Python, ML"
Data Analyst,Google,Pune,53136,"Excel, Tableau"
ML Engineer,Wipro,Bangalore,64982,"Python, Excel"
Data Analyst,Amazon,Bangalore,128513,"Python, Excel"
ML Engineer,Google,Delhi,106528,"Python, SQL"
ML Engineer,Accenture,Hyderabad,33817,"SQL, Power BI"
Business Analyst,TCS,Delhi,129362,"SQL, Power BI"
Business Analyst,Amazon,Delhi,72183,"Python, SQL"
Data Scientist,Wipro,Delhi,91384,"Excel, Tableau"
ML Engineer,Wipro,Delhi,130538,"Python, ML"
Data Analyst,Amazon,Bangalore,147499,"Python, Excel"
ML Engineer,Accenture,Delhi,47508,"Python, ML"
Data Scientist,Google,Mumbai,44454,"Python, ML"
Business Analyst,TCS,Bangalore,81151,"Python, Excel"
ML Engineer,TCS,Bangalore,121055,"Python, ML"
ML Engineer,Accenture,Delhi,34172,"Excel, Tableau"
Business Analyst,Infosys,Pune,142945,"Python, SQL"
ML Engineer,Accenture,Hyderabad,36363,"Python, SQL"
Data Analyst,TCS,Pune,119448,"Excel, Tableau"
Data Scientist,Amazon,Delhi,71864,"Python, ML"
Data Scientist,Infosys,Hyderabad,77836,"Python, Excel"
Business Analyst,Wipro,Hyderabad,110364,"Excel, Tableau"
Data Scientist,Infosys,Delhi,117631,"Python, SQL"
Business Analyst,Accenture,Delhi,121312,"SQL, Power BI"
Data Analyst,Google,Delhi,139223,"Python, ML"
Business Analyst,Accenture,Mumbai,71144,"Excel, Tableau"
ML Engineer,Accenture,Mumbai,82446,"Python, Excel"
Business Analyst,Accenture,Pune,106878,"Python, ML"
Business Analyst,Google,Pune,35404,"Python, SQL"
ML Engineer,Amazon,Mumbai,92013,"Python, Excel"
Data Scientist,Amazon,Mumbai,85202,"Python, SQL"
ML Engineer,Accenture,Mumbai,36576,"Python, SQL"
Business Analyst,Accenture,Mumbai,59997,"Excel, Tableau"
Data Analyst,Amazon,Bangalore,51663,"Python, SQL"
Data Analyst,TCS,Pune,55469,"Python, ML"
Business Analyst,Infosys,Hyderabad,98121,"Python, SQL"
ML Engineer,Amazon,Bangalore,31935,"Python, ML"
ML Engineer,TCS,Pune,70182,"Python, Excel"
Data Scientist,Wipro,Mumbai,35585,"SQL, Power BI"
Data Scientist,TCS,Bangalore,146170,"Excel, Tableau"
Data Scientist,Accenture,Hyderabad,127456,"Python, Excel"
ML Engineer,Accenture,Pune,126397,"Python, Excel"
Business Analyst,Amazon,Hyderabad,32929,"Excel, Tableau"
Data Analyst,TCS,Pune,115912,"Python, SQL"
Business Analyst,Wipro,Mumbai,78048,"SQL, Power BI"
ML Engineer,Google,Bangalore,44988,"Python, Excel"
Business Analyst,Accenture,Bangalore,104271,"Python, Excel"
Business Analyst,Accenture,Pune,42095,"Python, SQL"
Business Analyst,TCS,Pune,100645,"Python, SQL"
Business Analyst,Amazon,Mumbai,77852,"Excel, Tableau"
Data Scientist,Wipro,Bangalore,113619,"Python, SQL"
Data Analyst,TCS,Bangalore,149730,"Python, SQL"
Data Scientist,Wipro,Delhi,38867,"SQL, Power BI"
Data Analyst,Infosys,Bangalore,73447,"Excel, Tableau"
Business Analyst,Accenture,Pune,49298,"Python, SQL"
Business Analyst,Accenture,Hyderabad,102045,"Python, ML"
Data Scientist,Google,Delhi,132487,"Excel, Tableau"
Business Analyst,Google,Delhi,142994,"SQL, Power BI"
ML Engineer,Google,Pune,38240,"Python, ML"
Data Analyst,TCS,Mumbai,61037,"Python, SQL"
Business Analyst,TCS,Mumbai,85136,"Excel, Tableau"
Data Scientist,Google,Delhi,141293,"Python, Excel"
ML Engineer,Infosys,Mumbai,102083,"Python, Excel"
Data Analyst,Wipro,Delhi,83356,"Python, Excel"
ML Engineer,Accenture,Pune,49601,"Python, ML"
Data Analyst,Infosys,Hyderabad,65329,"Python, ML"
Data Analyst,Amazon,Hyderabad,73149,"Python, ML"
Business Analyst,TCS,Pune,85857,"SQL, Power BI"
Data Scientist,Google,Delhi,31078,"Python, ML"
Data Scientist,Accenture,Pune,126962,"Excel, Tableau"
Business Analyst,Infosys,Mumbai,47013,"Python, ML"
ML Engineer,Amazon,Bangalore,146710,"Excel, Tableau"
Business Analyst,Wipro,Pune,116622,"Python, ML"
ML Engineer,Amazon,Delhi,48666,"Python, SQL"
ML Engineer,Google,Mumbai,107258,"Python, ML"
Data Scientist,Google,Mumbai,139421,"Python, ML"
ML Engineer,Accenture,Hyderabad,86402,"Python, SQL"
Business Analyst,Google,Hyderabad,47482,"Python, ML"
Business Analyst,TCS,Delhi,108763,"Excel, Tableau"
Data Scientist,Infosys,Pune,144617,"Python, SQL"
ML Engineer,Google,Delhi,42777,"Python, ML"
ML Engineer,Accenture,Bangalore,103852,"SQL, Power BI"
Data Scientist,Wipro,Bangalore,37222,"Excel, Tableau"
Data Analyst,Infosys,Pune,34652,"Python, Excel"
ML Engineer,Google,Delhi,36891,"Excel, Tableau"
Business Analyst,Accenture,Mumbai,141112,"Python, ML"
Data Scientist,Infosys,Pune,77841,"Excel, Tableau"
Business Analyst,Infosys,Hyderabad,107020,"Python, ML"
Data Analyst,Infosys,Delhi,116675,"SQL, Power BI"
Data Scientist,Wipro,Pune,85676,"Python, Excel"
Data Scientist,Amazon,Pune,116576,"Python, SQL"
Data Scientist,Amazon,Delhi,108412,"Python, ML"
ML Engineer,Infosys,Pune,77500,"SQL, Power BI"
Business Analyst,TCS,Pune,87627,"Python, Excel"
Data Scientist,Google,Delhi,128423,"Python, Excel"
Business Analyst,Infosys,Hyderabad,132396,"Python, ML"
ML Engineer,Infosys,Bangalore,134919,"Python, ML"
Business Analyst,Amazon,Mumbai,138265,"Python, Excel"
ML Engineer,Amazon,Mumbai,129689,"Python, Excel"
ML Engineer,TCS,Mumbai,108438,"SQL, Power BI"
Business Analyst,Accenture,Delhi,36142,"Python, SQL"
Data Analyst,Wipro,Delhi,82872,"SQL, Power BI"
Data Scientist,Infosys,Bangalore,142056,"Python, SQL"
Business Analyst,Amazon,Mumbai,114515,"Python, Excel"
ML Engineer,Wipro,Pune,120402,"Python, Excel"
Data Scientist,Wipro,Bangalore,120393,"Excel, Tableau"
Data Analyst,Google,Pune,64661,"Excel, Tableau"
Business Analyst,Wipro,Bangalore,85966,"Python, SQL"
Data Analyst,Wipro,Hyderabad,76911,"Python, SQL"
Data Scientist,Infosys,Delhi,131846,"Python, SQL"
ML Engineer,TCS,Pune,87186,"Python, SQL"
Business Analyst,Infosys,Bangalore,33693,"Python, Excel"
ML Engineer,TCS,Mumbai,143489,"Python, SQL"
Data Analyst,Infosys,Hyderabad,35750,"Excel, Tableau"
Data Analyst,Google,Hyderabad,48044,"Python, Excel"
Data Analyst,Google,Pune,71388,"Excel, Tableau"
ML Engineer,Wipro,Hyderabad,132939,"Python, ML"
Data Scientist,Wipro,Mumbai,32637,"Python, SQL"
Data Analyst,Google,Bangalore,57679,"Excel, Tableau"
Data Scientist,TCS,Delhi,88013,"SQL, Power BI"
ML Engineer,Google,Pune,42531,"SQL, Power BI"
ML Engineer,Amazon,Bangalore,134368,"SQL, Power BI"
Data Scientist,Infosys,Bangalore,77051,"SQL, Power BI"
Data Analyst,Infosys,Bangalore,38058,"Python, Excel"
Business Analyst,Accenture,Bangalore,80104,"SQL, Power BI"
Business Analyst,Infosys,Mumbai,108226,"Python, SQL"
Data Analyst,Infosys,Mumbai,149939,"Python, ML"
ML Engineer,Accenture,Pune,52078,"Excel, Tableau"
Data Scientist,Amazon,Delhi,58533,"SQL, Power BI"
Data Analyst,Accenture,Delhi,95415,"Excel, Tableau"
Data Scientist,Wipro,Mumbai,147055,"SQL, Power BI"
Business Analyst,Wipro,Bangalore,101707,"Python, ML"
Business Analyst,TCS,Delhi,34264,"Python, ML"
ML Engineer,Accenture,Mumbai,103968,"Python, SQL"
Business Analyst,Amazon,Mumbai,94985,"Excel, Tableau"
ML Engineer,Amazon,Pune,91841,"Python, Excel"
ML Engineer,Amazon,Mumbai,143478,"Python, ML"
Data Analyst,TCS,Bangalore,128243,"SQL, Power BI"
Data Scientist,Wipro,Hyderabad,38685,"SQL, Power BI"
Data Scientist,Google,Hyderabad,35422,"Python, ML"
Data Analyst,TCS,Mumbai,96355,"Python, Excel"
Data Scientist,Google,Mumbai,72480,"SQL, Power BI"
ML Engineer,Accenture,Mumbai,63936,"Python, SQL"
Data Scientist,Accenture,Delhi,125140,"Excel, Tableau"
ML Engineer,Amazon,Delhi,38299,"Python, ML"
Data Analyst,Accenture,Bangalore,47812,"Python, Excel"
ML Engineer,Infosys,Bangalore,109561,"Excel, Tableau"
Business Analyst,Infosys,Mumbai,66471,"SQL, Power BI"
Business Analyst,Accenture,Pune,66349,"SQL, Power BI"
Business Analyst,Google,Pune,46321,"SQL, Power BI"
Data Scientist,Google,Delhi,129290,"Python, Excel"
ML Engineer,Amazon,Mumbai,88520,"Python, SQL"
Data Analyst,Google,Bangalore,111429,"Excel, Tableau"
Business Analyst,Google,Hyderabad,49159,"Excel, Tableau"
Business Analyst,Accenture,Pune,126428,"SQL, Power BI"
Business Analyst,Google,Delhi,33670,"Excel, Tableau"
Business Analyst,Amazon,Mumbai,41643,"Python, Excel"
Business Analyst,Infosys,Delhi,80942,"SQL, Power BI"
Data Analyst,Amazon,Pune,61984,"SQL, Power BI"
Data Analyst,Infosys,Bangalore,121456,"Python, SQL"
Data Analyst,Wipro,Bangalore,40078,"Excel, Tableau"
ML Engineer,TCS,Pune,95788,"Python, Excel"
Data Scientist,Amazon,Hyderabad,66570,"Python, Excel"
ML Engineer,Amazon,Hyderabad,79845,"SQL, Power BI"
ML Engineer,TCS,Pune,142808,"Excel, Tableau"
Data Scientist,Google,Mumbai,119900,"SQL, Power BI"
Data Analyst,Google,Bangalore,52286,"SQL, Power BI"
Data Analyst,TCS,Bangalore,108973,"Python, SQL"
ML Engineer,TCS,Pune,74127,"Python, Excel"
Data Scientist,Wipro,Delhi,38690,"Python, ML"
Data Scientist,Google,Mumbai,36813,"Python, ML"
ML Engineer,Wipro,Pune,113258,"Python, ML"
Data Analyst,Google,Delhi,145130,"Python, Excel"
Data Scientist,Accenture,Delhi,60325,"SQL, Power BI"
Data Scientist,Amazon,Delhi,124963,"Python, ML"
Data Analyst,Amazon,Hyderabad,122781,"Excel, Tableau"
ML Engineer,Amazon,Pune,101395,"Python, ML"
Data Scientist,Accenture,Delhi,35617,"SQL, Power BI"
Data Scientist,Google,Pune,139727,"Excel, Tableau"
Data Analyst,Google,Hyderabad,90691,"Excel, Tableau"
Business Analyst,Infosys,Mumbai,130428,"Python, Excel"
ML Engineer,Wipro,Hyderabad,61908,"SQL, Power BI"
ML Engineer,Amazon,Pune,104250,"Python, ML"
Data Scientist,TCS,Mumbai,124979,"Python, SQL"
Data Analyst,Accenture,Bangalore,67602,"SQL, Power BI"
ML Engineer,Accenture,Delhi,95210,"Excel, Tableau"
Data Analyst,TCS,Hyderabad,97365,"Excel, Tableau"
Data Scientist,TCS,Delhi,54148,"Python, SQL"
Business Analyst,Wipro,Mumbai,145748,"Excel, Tableau"
Data Analyst,Wipro,Bangalore,132511,"Python, Excel"
Data Scientist,Google,Bangalore,70060,"Python, ML"
Business Analyst,Google,Pune,146327,"Python, SQL"
Data Analyst,TCS,Mumbai,71666,"Excel, Tableau"
Data Analyst,Infosys,Delhi,97280,"Excel, Tableau"
Data Scientist,Google,Hyderabad,83674,"Python, ML"
Business Analyst,Wipro,Pune,86374,"Python, ML"
Data Analyst,Wipro,Delhi,110580,"SQL, Power BI"
Data Scientist,Accenture,Bangalore,143399,"Excel, Tableau"
Business Analyst,TCS,Delhi,48709,"Python, SQL"
Data Scientist,TCS,Hyderabad,145720,"Excel, Tableau"
Data Scientist,Wipro,Mumbai,64306,"Python, SQL"
Data Analyst,Google,Pune,56059,"Excel, Tableau"
Data Scientist,Amazon,Pune,44358,"Python, ML"
ML Engineer,Infosys,Pune,141977,"Excel, Tableau"
ML Engineer,Accenture,Delhi,64397,"SQL, Power BI"
ML Engineer,Google,Pune,58003,"Python, ML"
Data Analyst,Wipro,Mumbai,97866,"Python, ML"
Data Analyst,Amazon,Mumbai,56176,"SQL, Power BI"
Business Analyst,Wipro,Bangalore,98712,"Python, Excel"
ML Engineer,Google,Mumbai,92114,"Excel, Tableau"
Data Scientist,Accenture,Bangalore,76782,"Python, ML"
ML Engineer,TCS,Pune,97295,"Excel, Tableau"
Business Analyst,Wipro,Hyderabad,128326,"Excel, Tableau"
Data Analyst,Wipro,Bangalore,95952,"Python, ML"
ML Engineer,Infosys,Pune,125115,"Python, ML"
Business Analyst,Amazon,Bangalore,149585,"SQL, Power BI"
ML Engineer,Accenture,Pune,92536,"SQL, Power BI"
Data Scientist,Amazon,Hyderabad,64434,"Python, Excel"
Business Analyst,TCS,Delhi,70814,"SQL, Power BI"
Data Scientist,Wipro,Bangalore,122087,"SQL, Power BI"
Business Analyst,Google,Pune,51343,"Python, SQL"
Data Analyst,TCS,Hyderabad,115007,"Excel, Tableau"
ML Engineer,Google,Hyderabad,132615,"Excel, Tableau"
Data Scientist,TCS,Delhi,98470,"SQL, Power BI"
ML Engineer,Amazon,Hyderabad,85672,"Python, Excel"
Data Scientist,Amazon,Delhi,83258,"Python, ML"
Data Scientist,Google,Pune,54911,"Excel, Tableau"
Data Scientist,Wipro,Hyderabad,78609,"Python, Excel"
ML Engineer,Infosys,Delhi,40657,"Python, SQL"
Business Analyst,TCS,Mumbai,142307,"Excel, Tableau"
Data Analyst,Amazon,Mumbai,54818,"Python, Excel"
ML Engineer,Google,Delhi,96712,"SQL, Power BI"
Data Analyst,Infosys,Hyderabad,71742,"Python, ML"
Business Analyst,Google,Delhi,80306,"Python, ML"
Data Scientist,Google,Hyderabad,85627,"Python, Excel"
Data Analyst,TCS,Bangalore,72178,"Python, ML"
ML Engineer,Amazon,Delhi,56346,"Python, Excel"
Data Scientist,Accenture,Hyderabad,69959,"Python, Excel"
Data Scientist,Google,Bangalore,110030,"Python, SQL"
Data Analyst,Wipro,Bangalore,66420,"Python, ML"
Data Scientist,Amazon,Delhi,57099,"Python, ML"
Business Analyst,Amazon,Mumbai,76894,"Python, SQL"
ML Engineer,Amazon,Mumbai,128703,"Excel, Tableau"
Data Scientist,Wipro,Mumbai,87279,"SQL, Power BI"
Business Analyst,Infosys,Pune,70797,"Python, SQL"
Business Analyst,Wipro,Mumbai,32733,"Python, ML"
Data Scientist,Accenture,Delhi,109689,"Python, SQL"
ML Engineer,Amazon,Bangalore,56042,"Python, ML"
Business Analyst,Infosys,Hyderabad,51190,"Python, SQL"
ML Engineer,Amazon,Delhi,146904,"Python, Excel"
Data Analyst,Google,Delhi,56128,"Python, SQL"
ML Engineer,TCS,Hyderabad,148764,"Python, ML"
Data Analyst,Amazon,Pune,93974,"Python, Excel"
Business Analyst,Accenture,Hyderabad,120070,"SQL, Power BI"
Data Scientist,Wipro,Delhi,100049,"Python, Excel"
Data Analyst,Wipro,Hyderabad,79914,"Python, Excel"
ML Engineer,Wipro,Delhi,78437,"Python, SQL"
ML Engineer,Amazon,Delhi,44527,"SQL, Power BI"
ML Engineer,TCS,Mumbai,121787,"Python, SQL"
ML Engineer,Accenture,Mumbai,108597,"Python, ML"
ML Engineer,TCS,Hyderabad,137605,"Excel, Tableau"
Data Analyst,Infosys,Bangalore,43967,"Python, SQL"
Data Analyst,Accenture,Delhi,114319,"Python, SQL"
ML Engineer,Amazon,Pune,74609,"Excel, Tableau"
Data Analyst,Accenture,Pune,37121,"Python, SQL"
ML Engineer,Amazon,Hyderabad,82320,"Python, Excel"
Data Analyst,Wipro,Pune,127086,"Python, SQL"
ML Engineer,Infosys,Bangalore,132647,"Excel, Tableau"
Data Analyst,Amazon,Delhi,68766,"Python, SQL"
Data Scientist,Amazon,Pune,53953,"Excel, Tableau"
Data Scientist,Accenture,Bangalore,132124,"Python, SQL"
Data Analyst,TCS,Hyderabad,79455,"Excel, Tableau"
Business Analyst,Google,Delhi,70085,"Python, Excel"
Data Analyst,Infosys,Bangalore,77088,"Excel, Tableau"
Business Analyst,Infosys,Delhi,134074,"Python, Excel"
Data Analyst,TCS,Hyderabad,45439,"Python, Excel"
ML Engineer,TCS,Mumbai,100729,"Python, ML"
Data Scientist,Google,Pune,119575,"Excel, Tableau"
ML Engineer,Wipro,Pune,123939,"Excel, Tableau"
Data Analyst,TCS,Hyderabad,87824,"Python, Excel"
Business Analyst,TCS,Delhi,136182,"Excel, Tableau"
Data Analyst,Infosys,Hyderabad,134340,"SQL, Power BI"
Data Analyst,Google,Delhi,115021,"Python, SQL"
Data Analyst,Google,Pune,100246,"Excel, Tableau"
ML Engineer,Amazon,Pune,77959,"Excel, Tableau"
Data Analyst,TCS,Bangalore,120339,"Python, Excel"
Business Analyst,Amazon,Bangalore,127979,"Python, ML"
ML Engineer,Amazon,Hyderabad,81828,"Python, Excel"
Business Analyst,Amazon,Pune,125460,"Excel, Tableau"
Business Analyst,Infosys,Hyderabad,90993,"SQL, Power BI"
Data Analyst,Infosys,Delhi,124182,"SQL, Power BI"
Data Scientist,TCS,Bangalore,58753,"Python, ML"
ML Engineer,TCS,Delhi,30276,"Python, Excel"
Business Analyst,TCS,Hyderabad,57075,"SQL, Power BI"
ML Engineer,Amazon,Pune,126532,"Python, Excel"
Business Analyst,Amazon,Delhi,108266,"Excel, Tableau"
Data Scientist,Accenture,Bangalore,134301,"Python, Excel"
Data Scientist,Amazon,Mumbai,104768,"Excel, Tableau"
Business Analyst,TCS,Delhi,68946,"Python, ML"
Data Analyst,Amazon,Delhi,89040,"Python, Excel"
ML Engineer,Wipro,Mumbai,48730,"Python, ML"
Data Scientist,Wipro,Bangalore,118805,"Python, ML"
Data Analyst,Wipro,Pune,134979,"SQL, Power BI"
ML Engineer,Accenture,Bangalore,90509,"Python, SQL"
ML Engineer,Amazon,Delhi,106190,"Excel, Tableau"
ML Engineer,Infosys,Hyderabad,47905,"Python, Excel"
Data Analyst,TCS,Hyderabad,57933,"Excel, Tableau"
Data Analyst,Accenture,Pune,53695,"Python, ML"
Business Analyst,Google,Delhi,77558,"Python, SQL"
Data Analyst,Amazon,Mumbai,111798,"Excel, Tableau"
Business Analyst,Wipro,Mumbai,52517,"Python, ML"
ML Engineer,TCS,Pune,35536,"SQL, Power BI"
ML Engineer,Infosys,Delhi,45095,"Python, ML"
Data Scientist,Wipro,Bangalore,139866,"Excel, Tableau"
Data Analyst,Amazon,Delhi,120842,"Python, SQL"
Business Analyst,Amazon,Pune,60222,"Python, Excel"
ML Engineer,Accenture,Bangalore,110512,"Python, Excel"
ML Engineer,Infosys,Bangalore,140637,"Python, SQL"
Data Scientist,Amazon,Mumbai,96722,"Python, SQL"
Data Scientist,Infosys,Mumbai,127013,"Python, SQL"
Data Analyst,Wipro,Mumbai,119542,"Excel, Tableau"
Data Analyst,Infosys,Pune,59586,"Python, Excel"
Data Scientist,Accenture,Delhi,115999,"Python, Excel"
Data Analyst,Accenture,Bangalore,76741,"Python, ML"
Data Scientist,Wipro,Bangalore,77686,"Python, Excel"
Business Analyst,Infosys,Delhi,137287,"SQL, Power BI"
Data Scientist,Infosys,Hyderabad,148966,"Python, Excel"
ML Engineer,TCS,Mumbai,80941,"SQL, Power BI"
Business Analyst,Infosys,Hyderabad,60703,"SQL, Power BI"
Data Scientist,TCS,Pune,129217,"Excel, Tableau"
Data Scientist,Wipro,Mumbai,146665,"Python, ML"
